,Unnamed: 0,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Asis,4P_60,id_anony,Nota.Prom
5103,5103,1,7220,SISTEMA DE PLANIF. ESTRATEGICA,IND-PLS09 ,8,1,2012,1,1,2012,18,40,0,0,0,[5],1.0,,es_114,5.0
5104,5104,1,7220,SISTEMA DE PLANIF. ESTRATEGICA,IND-PLS09 ,8,1,2012,1,1,2012,20,36,0,0,0,[5],1.0,,es_252,5.0
5105,5105,1,7220,SISTEMA DE PLANIF. ESTRATEGICA,IND-PLS09 ,8,1,2012,1,1,2012,22,32,0,0,0,[4],1.0,,es_592,4.0
5106,5106,1,7220,SISTEMA DE PLANIF. ESTRATEGICA,IND-PLS09 ,8,1,2012,1,1,2012,19,42,0,0,0,[5],1.0,,es_750,5.0
5107,5107,1,7220,SISTEMA DE PLANIF. ESTRATEGICA,IND-PLS09 ,8,1,2012,1,1,2012,21,31,0,0,0,[4],1.0,,es_117,4.0
5108,5108,1,7221,SISTEMA DE CALIDAD,IND-PLS09 ,8,1,2012,1,1,2012,26,25,7,0,0,[5],1.0,,es_98,5.0
5109,5109,1,7221,SISTEMA DE CALIDAD,IND-PLS09 ,8,1,2012,1,0,0,25,0,1,0,0,[0],1.0,,es_1083,0.0
5110,5110,1,7221,SISTEMA DE CALIDAD,IND-PLS09 ,8,1,2012,1,1,2012,26,28,10,0,0,[5],1.0,,es_851,5.0
5111,5111,1,7221,SISTEMA DE CALIDAD,IND-PLS09 ,8,1,2012,1,1,2012,11,23,8,0,0,[3],1.0,,es_699,3.0
5112,5112,1,7221,SISTEMA DE CALIDAD,IND-PLS09 ,8,1,2012,1,1,2012,25,27,7,0,0,[5],1.0,,es_709,5.0
5113,5113,1,7221,SISTEMA DE CALIDAD,IND-PLS09 ,8,1,2012,1,1,2012,29,27,7,0,0,[5],1.0,,es_852,5.0
5114,5114,1,7221,SISTEMA DE CALIDAD,IND-PLS09 ,8,1,2012,1,1,2012,21,26,8,0,0,[5],1.0,,es_303,5.0
