,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom
5252,2,SISTEMAS DIGITALES 1,1,2012,1,2012,16,16,6,[4],es_909,4.0
5367,2,ORGANIZACION DE EMPRESAS 1,2,2012,0,0,0,0,0,[0],es_185,0.0
5368,2,ORGANIZACION DE EMPRESAS 1,2,2012,0,0,0,0,0,[0],es_905,0.0
5369,2,ORGANIZACION DE EMPRESAS 1,2,2012,0,0,18,24,0,[0],es_1074,0.0
5370,2,ORGANIZACION DE EMPRESAS 1,2,2012,0,2012,20,36,10,[0],es_907,0.0
5371,2,ORGANIZACION DE EMPRESAS 1,2,2012,0,2012,19,24,8,[0],es_1003,0.0
5372,2,ORGANIZACION DE EMPRESAS 1,2,2012,0,0,0,0,0,[0],es_199,0.0
5373,2,ORGANIZACION DE EMPRESAS 1,2,2012,0,0,0,0,0,[0],es_1464,0.0
5374,2,ORGANIZACION DE EMPRESAS 1,2,2012,0,2012,20,36,6,[0],es_1027,0.0
5375,2,ORGANIZACION DE EMPRESAS 1,2,2012,0,2012,10,21,8,[0],es_1326,0.0
5740,2,MATERIALES 1,1,2012,1,2012,14,25,8,[4],es_892,4.0
5741,2,MATERIALES 1,1,2012,0,0,0,0,0,[0],es_495,0.0
5743,2,MATERIALES 1,1,2012,1,2012,18,20,8,[4],es_894,4.0
5745,2,MATERIALES 1,1,2012,0,0,0,0,0,[0],es_896,0.0
5746,2,MATERIALES 1,1,2012,0,0,10,12,6,[0],es_905,0.0
5747,2,MATERIALES 1,1,2012,0,0,11,14,8,[0],es_906,0.0
5753,2,MATERIALES 1,1,2012,1,2012,15,28,8,[5],es_900,5.0
5754,2,MATERIALES 1,1,2012,0,2012,15,19,8,[0],es_583,0.0
5759,2,MATERIALES 1,1,2012,0,0,12,15,6,[0],es_1043,0.0
5760,2,MATERIALES 1,1,2012,1,2012,13,24,8,[4],es_909,4.0
5762,2,MATERIALES 1,1,2012,0,0,7,13,6,[0],es_1466,0.0
5770,2,TERMODINAMICA,1,2012,0,0,12,7,6,[0],es_495,0.0
5773,2,TERMODINAMICA,1,2012,0,0,6,4,5,[0],es_507,0.0
5774,2,TERMODINAMICA,1,2012,1,2012,21,30,8,[5],es_511,5.0
5776,2,TERMODINAMICA,1,2012,1,2012,16,35,9,[5],es_1069,5.0
5777,2,TERMODINAMICA,1,2012,0,0,7,0,2,[0],es_905,0.0
5778,2,TERMODINAMICA,1,2012,0,0,4,0,5,[0],es_1070,0.0
5780,2,TERMODINAMICA,1,2012,0,0,0,0,0,[0],es_1071,0.0
5781,2,TERMODINAMICA,1,2012,1,2012,11,27,9,[3],es_524,3.0
5784,2,TERMODINAMICA,1,2012,1,2012,16,34,10,[5],es_545,5.0
5788,2,TERMODINAMICA,1,2012,1,2012,12,21,8,[3],es_569,3.0
5789,2,TERMODINAMICA,1,2012,0,0,7,0,3,[0],es_1074,0.0
5790,2,TERMODINAMICA,1,2012,0,0,6,0,5,[0],es_943,0.0
5791,2,TERMODINAMICA,1,2012,1,2011,20,33,9,[5],es_599,5.0
5798,2,TERMODINAMICA,1,2012,0,2012,10,19,6,[0],es_634,0.0
5800,2,TERMODINAMICA,1,2012,1,2012,14,21,5,[2],es_652,2.0
5802,2,TERMODINAMICA,1,2012,0,0,7,0,6,[0],es_1078,0.0
5803,2,TERMODINAMICA,1,2012,1,2012,10,24,6,[2],es_668,2.0
5810,2,MECANISMOS,1,2012,0,0,12,7,8,[0],es_495,0.0
5814,2,MECANISMOS,1,2012,0,0,14,0,9,[0],es_507,0.0
5816,2,MECANISMOS,1,2012,1,2012,24,33,10,[5],es_511,5.0
5817,2,MECANISMOS,1,2012,1,2012,13,27,10,[2],es_524,2.0
5819,2,MECANISMOS,1,2012,1,2012,23,33,10,[5],es_545,5.0
5824,2,MECANISMOS,1,2012,1,2012,20,25,8,[5],es_569,5.0
5825,2,MECANISMOS,1,2012,0,2012,2,28,10,[0],es_599,0.0
5829,2,MECANISMOS,1,2012,0,2012,19,15,8,[0],es_625,0.0
5833,2,MECANISMOS,1,2012,0,2012,20,21,10,[0],es_634,0.0
5835,2,MECANISMOS,1,2012,1,2012,7,30,9,[4],es_652,4.0
5853,2,MECANICA DE SOLIDOS,1,2012,0,2012,10,24,0,[1],es_494,1.0
5854,2,MECANICA DE SOLIDOS,1,2012,1,2012,22,32,0,[5],es_511,5.0
5856,2,MECANICA DE SOLIDOS,1,2012,1,2012,11,25,0,[3],es_898,3.0
5857,2,MECANICA DE SOLIDOS,1,2012,0,2012,5,17,0,[0],es_524,0.0
5859,2,MECANICA DE SOLIDOS,1,2012,1,2012,19,27,0,[5],es_545,5.0
5860,2,MECANICA DE SOLIDOS,1,2012,1,2012,9,20,0,[2],es_569,2.0
5863,2,MECANICA DE SOLIDOS,1,2012,1,2012,17,17,0,[3],es_583,3.0
5864,2,MECANICA DE SOLIDOS,1,2012,0,0,7,9,0,[0],es_599,0.0
5865,2,MECANICA DE SOLIDOS,1,2012,0,2012,7,22,0,[0],es_625,0.0
5866,2,MECANICA DE SOLIDOS,1,2012,0,0,1,5,0,[0],es_629,0.0
5867,2,MECANICA DE SOLIDOS,1,2012,0,2012,11,26,0,[0],es_634,0.0
5868,2,MECANICA DE SOLIDOS,1,2012,1,2011,23,18,0,[3],es_652,3.0
